Config,cpu-issue,cpu-iq-entries,cpu-lq-entries,cpu-sq-entries,cpu-rob-entries,cpu-phy-intreg,cpu-phy-floatreg,dcache-size,icache-size,l2cache-size,l3cache-size,dcache-latency,status
Config 11,2,16,8,32,32,32,32,65536,32768,131072,8388608,4,fail
Config 10,4,64,64,8,16,32,256,32768,32768,2097152,4194304,8,fail
Config 20,2,64,32,64,16,32,128,65536,16384,262144,4194304,10,fail
Config 15,1,128,8,16,128,32,128,65536,65536,524288,1048576,1,fail
Config 14,1,16,32,64,16,32,128,32768,65536,2097152,524288,2,fail
Config 05,4,16,64,8,64,256,64,65536,65536,524288,8388608,6,fail
Config 17,1,8,4,4,128,64,64,65536,16384,1048576,8388608,9,fail
Config 19,8,32,16,4,128,64,256,16384,65536,2097152,8388608,3,fail
Config 01,1,64,4,32,32,128,32,32768,16384,131072,4194304,5,fail
Config 09,8,32,8,4,32,128,64,16384,65536,262144,4194304,10,fail
Config 07,4,8,4,16,64,128,32,65536,32768,262144,2097152,3,fail
Config 13,8,128,16,8,128,256,32,32768,32768,1048576,2097152,6,fail
Config 04,2,16,64,64,16,128,32,32768,16384,1048576,1048576,4,fail
Config 02,2,32,32,4,32,64,128,32768,16384,262144,2097152,8,pass
Config 16,1,64,8,64,64,64,256,16384,65536,131072,2097152,2,pass
Config 06,2,8,4,16,32,256,128,65536,16384,524288,1048576,9,pass
Config 18,4,128,32,16,64,256,64,16384,32768,131072,1048576,7,pass
Config 03,4,32,16,8,64,256,256,16384,65536,2097152,524288,7,pass
Config 08,8,8,64,32,128,128,256,16384,32768,524288,524288,5,pass
Config 12,8,128,16,32,16,64,64,16384,32768,1048576,524288,1,pass
